club_name_x,player_name,club_involved_name,fee_cleaned,league_name,year,age,position,minutes_played_overall,minutes_played_home,minutes_played_away,nationality,appearances_overall,appearances_home,appearances_away,goals_overall,goals_home,goals_away,assists_overall,assists_home,assists_away,penalty_goals,penalty_misses,clean_sheets_overall,clean_sheets_home,clean_sheets_away,conceded_overall,conceded_home,conceded_away,yellow_cards_overall,red_cards_overall,goals_involved_per_90_overall,assists_per_90_overall,goals_per_90_overall,goals_per_90_home,goals_per_90_away,min_per_goal_overall,conceded_per_90_overall,min_per_conceded_overall,min_per_match,min_per_card_overall,min_per_assist_overall,cards_per_90_overall,rank_in_league_top_attackers,rank_in_league_top_midfielders,rank_in_league_top_defenders,rank_in_club_top_scorer,height_cm,weight_kg,league_rank,overall,potential,value_eur,wage_eur,player_positions,preferred_foot,international_reputation,weak_foot,skill_moves,work_rate,body_type,real_face,release_clause_eur,player_tags,team_position,team_jersey_number,loaned_from,joined,contract_valid_until,nation_position,nation_jersey_number,pace,shooting,passing,dribbling,defending,physic,gk_diving,gk_handling,gk_kicking,gk_reflexes,gk_speed,gk_positioning,player_traits,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_marking,defending_standing_tackle,defending_sliding_tackle,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes,ls,st,rs,lw,lf,cf,rf,rw,lam,cam,ram,lm,lcm,cm,rcm,rm,lwb,ldm,cdm,rdm,rwb,lb,lcb,cb,rcb,rb,search_volume_sv
Stade Rennais FC,Pedro Mendes,Montpellier,0.9,Ligue 1,2017,30.0,Defender,1667.0,779.0,888.0,Portugal,19.0,9.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,6.0,1.0,18.0,4.0,14.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.97,93.0,88.0,238.0,0.0,0.38,387.0,389.0,50.0,21.0,187.0,78.0,1.0,73.0,77.0,3100000.0,30000.0,CB,Right,1.0,3.0,2.0,Medium/Medium,Normal,No,,,SUB,5.0,,2015-08-12,2019.0,,,66.0,36.0,40.0,60.0,75.0,76.0,,,,,,,,25.0,25.0,69.0,45.0,22.0,60.0,48.0,52.0,50.0,60.0,65.0,66.0,55.0,70.0,53.0,67.0,72.0,75.0,76.0,34.0,79.0,74.0,25.0,32.0,35.0,68.0,75.0,78.0,74.0,10.0,6.0,13.0,10.0,10.0,51+1,51+1,51+1,47+0,49+0,49+0,49+0,47+0,47+1,47+1,47+1,50+1,52+1,52+1,52+1,50+1,63+1,65+1,65+1,65+1,63+1,66+1,72+1,72+1,72+1,66+1,15000.0
Stade Rennais FC,Gelson Fernandes,E. Frankfurt,0.315,Ligue 1,2017,34.0,Midfielder,1837.0,1052.0,785.0,Switzerland,27.0,15.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,8.0,1.0,26.0,12.0,14.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.27,71.0,68.0,262.0,0.0,0.34,390.0,392.0,-1.0,24.0,179.0,70.0,1.0,76.0,76.0,4000000.0,40000.0,"CDM, CM",Right,2.0,3.0,2.0,Medium/High,Lean,No,,,SUB,6.0,,2014-08-05,2018.0,SUB,16.0,69.0,56.0,68.0,68.0,74.0,81.0,,,,,,,"Dives Into Tackles (AI), Selfish",59.0,51.0,63.0,75.0,55.0,68.0,57.0,55.0,70.0,69.0,69.0,69.0,67.0,72.0,66.0,67.0,70.0,92.0,75.0,55.0,87.0,79.0,61.0,68.0,50.0,71.0,74.0,77.0,70.0,14.0,6.0,13.0,10.0,13.0,64+1,64+1,64+1,65+0,66+0,66+0,66+0,65+0,67+1,67+1,67+1,68+1,71+1,71+1,71+1,68+1,73+1,75+1,75+1,75+1,73+1,73+1,74+1,74+1,74+1,73+1,14000.0
AS Saint-Étienne,Kévin Malcuit,LOSC Lille,8.1,Ligue 1,2017,29.0,Defender,2168.0,1331.0,837.0,France,25.0,15.0,10.0,0.0,0.0,0.0,3.0,1.0,2.0,0.0,0.0,10.0,6.0,4.0,22.0,14.0,8.0,6.0,2.0,0.12,0.12,0.0,0.0,0.0,0.0,0.91,99.0,87.0,271.0,723.0,0.33,309.0,123.0,35.0,27.0,180.0,76.0,1.0,70.0,75.0,1500000.0,20000.0,RB,Right,1.0,3.0,3.0,High/Medium,Normal,No,,,SUB,25.0,,2015-08-28,2019.0,,,83.0,62.0,60.0,72.0,66.0,75.0,,,,,,,,70.0,66.0,60.0,68.0,56.0,74.0,58.0,47.0,61.0,70.0,78.0,87.0,78.0,61.0,68.0,64.0,72.0,72.0,77.0,52.0,74.0,65.0,65.0,41.0,51.0,67.0,65.0,69.0,69.0,12.0,13.0,12.0,9.0,11.0,67+1,67+1,67+1,68+0,66+0,66+0,66+0,68+0,65+1,65+1,65+1,68+1,63+1,63+1,63+1,68+1,70+1,66+1,66+1,66+1,70+1,69+1,68+1,68+1,68+1,69+1,2200.0
AS Saint-Étienne,Neal Maupay,Brentford,1.8,Ligue 1,2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29000.0
AS Saint-Étienne,Fabien Lemoine,FC Lorient,0.9,Ligue 1,2017,34.0,Midfielder,803.0,308.0,495.0,France,16.0,7.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,4.0,4.0,11.0,3.0,8.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.23,73.0,50.0,402.0,0.0,0.22,302.0,278.0,-1.0,26.0,175.0,67.0,1.0,76.0,76.0,4900000.0,40000.0,"CM, CDM",Right,2.0,3.0,2.0,Medium/High,Lean,No,,,LCM,18.0,,2011-08-01,2018.0,,,63.0,66.0,74.0,72.0,75.0,76.0,,,,,,,Injury Free,73.0,58.0,67.0,79.0,67.0,69.0,60.0,55.0,74.0,75.0,64.0,62.0,74.0,75.0,74.0,77.0,73.0,81.0,69.0,75.0,88.0,76.0,64.0,75.0,58.0,75.0,76.0,76.0,70.0,6.0,15.0,11.0,13.0,10.0,68+1,68+1,68+1,70+0,70+0,70+0,70+0,70+0,72+1,72+1,72+1,71+1,75+1,75+1,75+1,71+1,74+1,76+0,76+0,76+0,74+1,73+1,74+1,74+1,74+1,73+1,2800.0
FC Toulouse,Martin Braithwaite,Middlesbrough,10.17,Ligue 1,2017,29.0,Forward,2948.0,1620.0,1328.0,Denmark,34.0,18.0,16.0,11.0,8.0,3.0,3.0,3.0,0.0,4.0,2.0,10.0,5.0,5.0,31.0,17.0,14.0,7.0,0.0,0.43,0.09,0.34,0.44,0.2,268.0,0.95,95.0,87.0,421.0,983.0,0.21,47.0,167.0,-1.0,1.0,177.0,77.0,1.0,78.0,81.0,10500000.0,30000.0,ST,Right,2.0,4.0,4.0,High/High,Normal,No,,#Acrobat,ST,9.0,,2013-08-16,2019.0,RS,8.0,85.0,76.0,73.0,80.0,34.0,78.0,,,,,,,"Flair, Speed Dribbler (AI), Technical Dribbler (AI)",72.0,75.0,65.0,77.0,75.0,80.0,72.0,75.0,62.0,77.0,82.0,87.0,90.0,73.0,76.0,79.0,85.0,80.0,77.0,73.0,75.0,31.0,81.0,74.0,71.0,77.0,32.0,30.0,26.0,14.0,13.0,11.0,7.0,8.0,77+1,77+1,77+1,78+0,78+0,78+0,78+0,78+0,77+1,77+1,77+1,77+1,70+1,70+1,70+1,77+1,59+1,57+1,57+1,57+1,59+1,56+1,51+1,51+1,51+1,56+1,261000.0
FC Toulouse,Tongo Doumbia,Dinamo Zagreb,0.72,Ligue 1,2017,31.0,Midfielder,475.0,181.0,294.0,Mali,10.0,4.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,12.0,3.0,9.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.27,40.0,48.0,238.0,0.0,0.38,263.0,298.0,-1.0,16.0,191.0,79.0,1.0,72.0,73.0,2400000.0,20000.0,"CM, CDM",Right,1.0,3.0,3.0,High/Medium,Normal,No,,,SUB,4.0,,2014-08-29,2018.0,,,72.0,71.0,67.0,71.0,76.0,86.0,,,,,,,"Injury Prone, Speed Dribbler (AI)",74.0,67.0,72.0,64.0,69.0,73.0,64.0,57.0,62.0,73.0,67.0,76.0,68.0,72.0,48.0,82.0,84.0,85.0,86.0,71.0,89.0,79.0,72.0,72.0,58.0,77.0,74.0,78.0,76.0,10.0,16.0,11.0,9.0,15.0,72+1,72+1,72+1,71+0,71+0,71+0,71+0,71+0,70+1,70+1,70+1,71+1,71+1,71+1,71+1,71+1,75+,74+,74+,74+,75+,75+,77+,77+,77+,75+,800.0
FC Toulouse,Aleksandar Pesic,Red Star,0.675,Ligue 1,2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1000.0
FC Toulouse,Dominik Furman,Wisla Plock,0.135,Ligue 1,2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4000.0
SCO Angers,Yoane Wissa,FC Lorient,1.8,Ligue 1,2017,24.0,Forward,25.0,14.0,11.0,France,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,17.0,180.0,75.0,1.0,62.0,73.0,450000.0,3000.0,"ST, RW",Right,1.0,3.0,2.0,High/Medium,Normal,No,,,RES,12.0,,2016-06-27,2019.0,,,78.0,60.0,47.0,64.0,21.0,58.0,,,,,,,,44.0,58.0,50.0,51.0,48.0,65.0,41.0,42.0,37.0,59.0,77.0,78.0,73.0,63.0,64.0,72.0,59.0,62.0,58.0,51.0,55.0,10.0,61.0,54.0,68.0,50.0,21.0,20.0,14.0,14.0,7.0,6.0,8.0,15.0,61+1,61+1,61+1,60+0,61+0,61+0,61+0,60+0,59+1,59+1,59+1,59+1,50+1,50+1,50+1,59+1,43+1,38+1,38+1,38+1,43+1,40+1,35+1,35+1,35+1,40+1,2400.0
LOSC Lille,Martin Terrier,Olympique Lyon,9.9,Ligue 1,2017,24.0,Forward,248.0,173.0,75.0,France,11.0,7.0,4.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,3.0,2.0,1.0,0.0,0.0,0.36,0.0,0.36,0.0,1.2,248.0,1.09,83.0,23.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17000.0
FC Metz,Chris Philipps,Legia Warszawa,0.225,Ligue 1,2017,27.0,Defender,814.0,433.0,381.0,Luxembourg,11.0,5.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,2.0,8.0,4.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.88,102.0,74.0,204.0,0.0,0.44,292.0,297.0,32.0,20.0,182.0,80.0,1.0,60.0,70.0,275000.0,3000.0,"CDM, CB",Right,1.0,3.0,2.0,Low/Medium,Normal,No,,,RES,23.0,,2013-07-01,2018.0,,,54.0,26.0,42.0,42.0,64.0,68.0,,,,,,,,26.0,19.0,65.0,57.0,23.0,30.0,27.0,24.0,48.0,53.0,55.0,53.0,49.0,55.0,59.0,40.0,72.0,70.0,70.0,25.0,57.0,61.0,27.0,36.0,39.0,38.0,62.0,68.0,61.0,12.0,9.0,11.0,12.0,8.0,42+1,42+1,42+1,40+0,40+0,40+0,40+0,40+0,42+1,42+1,42+1,43+1,48+1,48+1,48+1,43+1,55+1,59+1,59+1,59+1,55+1,57+1,63+1,63+1,63+1,57+1,400.0
AS Monaco,Guido Carrillo,Southampton,19.8,Ligue 1,2017,29.0,Forward,584.0,245.0,339.0,Argentina,19.0,9.0,10.0,7.0,4.0,3.0,1.0,1.0,0.0,0.0,0.0,9.0,6.0,3.0,9.0,4.0,5.0,0.0,0.0,1.23,0.15,1.08,1.47,0.8,83.0,1.39,65.0,31.0,0.0,584.0,0.0,2.0,95.0,-1.0,7.0,191.0,87.0,1.0,72.0,77.0,2800000.0,30000.0,ST,Right,1.0,3.0,2.0,Medium/Medium,Normal,No,,,SUB,11.0,,2015-06-20,2020.0,,,65.0,73.0,52.0,67.0,35.0,75.0,,,,,,,Power Header,34.0,73.0,76.0,61.0,75.0,67.0,46.0,36.0,57.0,68.0,65.0,65.0,67.0,68.0,63.0,74.0,69.0,72.0,82.0,71.0,64.0,34.0,74.0,55.0,77.0,53.0,32.0,29.0,26.0,10.0,11.0,6.0,9.0,12.0,71+1,71+1,71+1,64+0,68+0,68+0,68+0,64+0,65+1,65+1,65+1,63+1,61+1,61+1,61+1,63+1,49+1,51+1,51+1,51+1,49+1,48+1,49+1,49+1,49+1,48+1,8700.0
Montpellier HSC,Lukas Pokorny,Slavia Prague,0.72,Ligue 1,2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200.0
OGC Nice,Vincent Koziello,1. FC Köln,2.7,Ligue 1,2017,25.0,Midfielder,1668.0,898.0,770.0,France,27.0,15.0,12.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,9.0,5.0,4.0,18.0,8.0,10.0,4.0,0.0,0.11,0.05,0.05,0.1,0.0,1668.0,0.97,93.0,62.0,417.0,1668.0,0.22,202.0,212.0,-1.0,11.0,168.0,58.0,1.0,79.0,87.0,15000000.0,30000.0,"CM, CDM",Right,1.0,4.0,3.0,Medium/High,Lean,No,,,RCM,26.0,,2014-08-23,2018.0,,,78.0,66.0,78.0,79.0,75.0,71.0,,,,,,,,75.0,68.0,52.0,82.0,63.0,76.0,75.0,57.0,76.0,82.0,79.0,77.0,86.0,79.0,77.0,65.0,62.0,80.0,61.0,62.0,85.0,77.0,77.0,81.0,60.0,77.0,77.0,78.0,75.0,14.0,9.0,14.0,12.0,8.0,71+1,71+1,71+1,77+0,76+0,76+0,76+0,77+0,78+1,78+1,78+1,78+1,78+1,78+1,78+1,78+1,78+1,78+1,78+1,78+1,78+1,77+1,74+1,74+1,74+1,77+1,5200.0
Paris Saint-Germain,Lucas Moura,Spurs,25.56,Ligue 1,2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,118000.0
Stade Rennais FC,Yacouba Sylla,KV Mechelen,0.675,Ligue 1,2017,30.0,Midfielder,1076.0,535.0,541.0,Mali,19.0,10.0,9.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,2.0,20.0,10.0,10.0,4.0,0.0,0.08,0.0,0.08,0.17,0.0,1076.0,1.67,54.0,57.0,269.0,0.0,0.33,177.0,394.0,-1.0,8.0,184.0,80.0,1.0,73.0,77.0,3100000.0,20000.0,"CDM, CM",Right,1.0,3.0,2.0,Medium/High,Normal,No,,,LDM,5.0,Stade Rennais FC,,2017.0,,,72.0,54.0,63.0,63.0,70.0,86.0,,,,,,,,56.0,45.0,60.0,72.0,39.0,59.0,56.0,38.0,62.0,64.0,71.0,72.0,74.0,70.0,68.0,71.0,66.0,92.0,86.0,56.0,84.0,73.0,65.0,62.0,55.0,65.0,69.0,72.0,68.0,7.0,8.0,11.0,16.0,10.0,63+1,63+1,63+1,63+0,63+0,63+0,63+0,63+0,64+1,64+1,64+1,65+1,67+1,67+1,67+1,65+1,70+1,72+1,72+1,72+1,70+1,70+1,72+1,72+1,72+1,70+1,1400.0
AS Saint-Étienne,Bryan Dabo,Fiorentina,2.7,Ligue 1,2017,29.0,Midfielder,642.0,158.0,484.0,France,14.0,5.0,9.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,5.0,1.0,4.0,6.0,0.0,6.0,3.0,0.0,0.14,0.14,0.0,0.0,0.0,0.0,0.84,107.0,46.0,214.0,642.0,0.42,282.0,102.0,-1.0,18.0,187.0,79.0,1.0,75.0,80.0,5500000.0,30000.0,"CM, CDM, RB, RM",Right,1.0,3.0,3.0,High/High,Normal,No,,,SUB,7.0,,2016-06-24,2020.0,,,79.0,71.0,72.0,75.0,74.0,80.0,,,,,,,"Injury Free, Flair, Power Header",73.0,70.0,70.0,77.0,69.0,77.0,64.0,60.0,71.0,75.0,79.0,79.0,72.0,72.0,72.0,78.0,83.0,81.0,79.0,69.0,78.0,74.0,71.0,68.0,58.0,71.0,74.0,76.0,71.0,8.0,6.0,10.0,10.0,11.0,74+1,74+1,74+1,74+0,74+0,74+0,74+0,74+0,73+1,73+1,73+1,75+1,74+1,74+1,74+1,75+1,75+1,75+1,75+1,75+1,75+1,75+1,75+1,75+1,75+1,75+1,6800.0
AS Saint-Étienne,Alexander Söderlund,Rosenborg BK,0.45,Ligue 1,2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150.0
RC Strasbourg Alsace,Ihsan Sacko,OGC Nice,1.8,Ligue 1,2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,700.0
Paris Saint-Germain,David Luiz,Chelsea,31.5,Ligue 1,2016,33.0,Defender,2088.0,1098.0,990.0,Brazil,25.0,14.0,11.0,1.0,1.0,0.0,2.0,1.0,1.0,0.0,0.0,15.0,7.0,8.0,11.0,7.0,4.0,4.0,0.0,0.13,0.09,0.04,0.08,0.0,2088.0,0.47,190.0,84.0,522.0,1044.0,0.17,254.0,161.0,5.0,16.0,189.0,84.0,1.0,83.0,84.0,21000000.0,160000.0,CB,Right,4.0,3.0,3.0,High/Medium,Normal,Yes,,,LCB,32.0,,2014-07-01,2019.0,LCB,4.0,73.0,64.0,73.0,73.0,83.0,77.0,,,,,,,"Long Throw-in, Power Free-Kick, Long Passer (AI), Long Shot Taker (AI)",68.0,56.0,83.0,78.0,67.0,70.0,70.0,76.0,76.0,79.0,72.0,73.0,74.0,79.0,56.0,74.0,82.0,71.0,77.0,71.0,84.0,80.0,54.0,68.0,75.0,,81.0,85.0,84.0,11.0,12.0,10.0,7.0,14.0,70+2,70+2,70+2,70+2,70+2,70+2,70+2,70+2,71+2,71+2,71+2,71+2,74+2,74+2,74+2,71+2,77+2,79+2,79+2,79+2,77+2,78+2,81+2,81+2,81+2,78+2,444000.0
Paris Saint-Germain,Lucas Digne,FC Barcelona,14.85,Ligue 1,2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,105000.0
Paris Saint-Germain,Benjamin Stambouli,FC Schalke 04,7.2,Ligue 1,2016,30.0,Midfielder,1500.0,587.0,913.0,France,27.0,11.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,6.0,10.0,5.0,1.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,300.0,56.0,750.0,0.0,0.12,374.0,366.0,-1.0,25.0,180.0,82.0,1.0,77.0,81.0,7500000.0,80000.0,"CDM, CM",Right,1.0,3.0,2.0,Medium/High,Normal,Yes,,,SUB,4.0,,2015-07-21,2020.0,,,65.0,60.0,67.0,71.0,76.0,77.0,,,,,,,,45.0,59.0,65.0,77.0,40.0,67.0,47.0,59.0,74.0,76.0,66.0,64.0,79.0,75.0,64.0,65.0,71.0,83.0,73.0,63.0,81.0,77.0,70.0,73.0,50.0,,77.0,78.0,73.0,8.0,13.0,11.0,15.0,15.0,67+0,67+0,67+0,68+0,69+0,69+0,69+0,68+0,71+0,71+0,71+0,69+0,74+0,74+0,74+0,69+0,72+0,77+0,77+0,77+0,72+0,72+0,75+0,75+0,75+0,72+0,10000.0
Olympique Lyon,Samuel Umtiti,FC Barcelona,22.5,Ligue 1,2016,27.0,Defender,2658.0,1422.0,1236.0,France,30.0,16.0,14.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,8.0,4.0,26.0,9.0,17.0,6.0,0.0,0.03,0.0,0.03,0.06,0.0,2658.0,0.88,102.0,89.0,443.0,0.0,0.2,261.0,426.0,37.0,12.0,181.0,75.0,1.0,79.0,85.0,12000000.0,80000.0,"CB, LB",Left,1.0,3.0,2.0,High/High,Normal,Yes,,,LCB,23.0,,2012-01-01,2019.0,,,74.0,62.0,67.0,70.0,80.0,79.0,,,,,,,,64.0,51.0,78.0,74.0,70.0,69.0,62.0,63.0,71.0,73.0,72.0,75.0,68.0,73.0,66.0,83.0,92.0,82.0,76.0,64.0,79.0,83.0,58.0,56.0,61.0,,79.0,79.0,86.0,15.0,10.0,14.0,12.0,15.0,68+0,68+0,68+0,67+0,67+0,67+0,67+0,67+0,67+0,67+0,67+0,68+0,70+0,70+0,70+0,68+0,76+0,77+0,77+0,77+0,76+0,77+0,79+0,79+0,79+0,77+0,107000.0
Olympique Lyon,Lindsay Rose,FC Lorient,1.35,Ligue 1,2016,29.0,Defender,990.0,450.0,540.0,France,11.0,5.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,19.0,6.0,13.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.73,52.0,90.0,990.0,0.0,0.09,283.0,309.0,169.0,17.0,184.0,80.0,1.0,73.0,77.0,3200000.0,50000.0,CB,Right,1.0,3.0,2.0,Medium/High,Normal,No,,,RES,22.0,,2014-07-18,2018.0,,,69.0,38.0,57.0,64.0,73.0,76.0,,,,,,,Injury Prone,64.0,31.0,74.0,65.0,31.0,62.0,41.0,36.0,57.0,66.0,69.0,69.0,64.0,67.0,60.0,55.0,70.0,74.0,77.0,39.0,77.0,70.0,36.0,46.0,36.0,,72.0,76.0,75.0,14.0,13.0,12.0,8.0,11.0,55+0,55+0,55+0,57+0,55+0,55+0,55+0,57+0,56+0,56+0,56+0,60+0,59+0,59+0,59+0,60+0,69+0,68+0,68+0,68+0,69+0,70+0,73+0,73+0,73+0,70+0,2400.0
Olympique Lyon,Bakary Koné,Málaga CF,0.72,Ligue 1,2016,32.0,Defender,430.0,96.0,334.0,Burkina Faso,6.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,9.0,2.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.88,48.0,72.0,430.0,0.0,0.21,415.0,423.0,176.0,23.0,188.0,80.0,1.0,73.0,76.0,2900000.0,60000.0,CB,Right,2.0,2.0,2.0,Medium/Medium,Lean,Yes,,,RES,4.0,,2011-08-01,2016.0,,,66.0,41.0,50.0,49.0,74.0,76.0,,,,,,,"Injury Free, Power Header",33.0,31.0,80.0,61.0,35.0,41.0,46.0,37.0,64.0,55.0,67.0,66.0,56.0,64.0,55.0,65.0,85.0,70.0,77.0,37.0,77.0,72.0,41.0,41.0,53.0,,70.0,74.0,80.0,14.0,10.0,12.0,8.0,8.0,54+0,54+0,54+0,48+0,50+0,50+0,50+0,48+0,50+0,50+0,50+0,51+0,56+0,56+0,56+0,51+0,63+0,67+0,67+0,67+0,63+0,67+0,73+0,73+0,73+0,67+0,11000.0
AS Monaco,Ivan Cavaleiro,Wolves,7.2,Ligue 1,2016,27.0,Forward,510.0,305.0,205.0,Portugal,12.0,8.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,2.0,6.0,3.0,3.0,1.0,0.0,0.18,0.0,0.18,0.3,0.0,510.0,1.06,85.0,43.0,510.0,0.0,0.18,110.0,359.0,-1.0,14.0,175.0,73.0,1.0,76.0,83.0,7500000.0,40000.0,"LM, ST, RM",Right,1.0,4.0,4.0,High/Medium,Normal,No,,,SUB,17.0,,2015-07-10,2020.0,,,86.0,69.0,68.0,80.0,38.0,65.0,,,,,,,"Flair, Technical Dribbler (AI)",73.0,68.0,61.0,71.0,63.0,83.0,73.0,31.0,63.0,79.0,84.0,87.0,76.0,75.0,73.0,78.0,49.0,68.0,63.0,63.0,69.0,37.0,74.0,69.0,74.0,,25.0,46.0,32.0,13.0,15.0,12.0,9.0,13.0,73+0,73+0,73+0,76+0,75+0,75+0,75+0,76+0,74+0,74+0,74+0,76+0,69+0,69+0,69+0,76+0,60+0,57+0,57+0,57+0,60+0,57+0,50+0,50+0,50+0,57+0,12000.0
AS Monaco,Marcel Tisserand,FC Ingolstadt,3.15,Ligue 1,2016,28.0,Defender,2844.0,1440.0,1404.0,Congo DR,33.0,16.0,17.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,6.0,2.0,39.0,14.0,25.0,7.0,1.0,0.03,0.0,0.03,0.06,0.0,2844.0,1.23,73.0,86.0,406.0,0.0,0.22,267.0,396.0,99.0,6.0,185.0,68.0,1.0,71.0,75.0,1800000.0,20000.0,"RB, RM",Right,1.0,3.0,2.0,Medium/Medium,Lean,No,,,RB,26.0,AS Monaco,,2016.0,,,71.0,59.0,68.0,70.0,71.0,73.0,,,,,,,Early Crosser,70.0,55.0,70.0,70.0,54.0,70.0,70.0,37.0,70.0,71.0,73.0,69.0,65.0,75.0,65.0,67.0,70.0,79.0,69.0,59.0,77.0,70.0,68.0,70.0,56.0,,73.0,72.0,66.0,13.0,15.0,8.0,13.0,14.0,67+0,67+0,67+0,68+0,68+0,68+0,68+0,68+0,69+0,69+0,69+0,70+0,70+0,70+0,70+0,70+0,71+0,72+0,72+0,72+0,71+0,71+0,71+0,71+0,71+0,71+0,5200.0
AS Monaco,Delvin N'Dinga,Loko Moscow,2.25,Ligue 1,2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150.0
